"id","system","theme","title","principle","rule","trap","takehome","source","check_label","check_url"
"1","cardiac","Cardiac rhythm","Aspirin is not an anticoagulant option in AF","AF stroke is a stasis driven fibrin thrombus forming in the left atrial appendage. It is not a platelet driven arterial plaque event, so an antiplatelet is the wrong drug class for the wrong clot.","Score thromboembolic risk with CHA2DS2-VASc, assess bleeding risk with ORBIT, and offer a DOAC first line. Bleeding risk is used to find and modify reversible risk factors, not to withhold anticoagulation.","Withholding anticoagulation solely because of age or falls risk. Use bleeding assessment to address modifiable risks and review treatment, not as an automatic reason to deny stroke prevention.","NICE explicitly says do not offer aspirin monotherapy for stroke prevention in AF.","NICE NG196","NICE NG196 recommendations","https://www.nice.org.uk/guidance/ng196/chapter/recommendations"
"2","cardiac","Cardiac rhythm","Why atropine fails in complete heart block","Atropine blocks parasympathetic activity at the sinoatrial and AV nodes. It is unlikely to help when high-grade block is below the AV node, particularly when the QRS is broad.","For adverse features, give atropine 500 micrograms IV and repeat every 3 to 5 minutes to a maximum of 3 mg, except in high-degree AV block with a wide QRS, where RCUK advises against it because it may be ineffective and can worsen the block. Prepare transcutaneous pacing and seek expert help; alternatives include isoprenaline or adrenaline infusion.","Cycling through atropine in a broad-QRS high-grade block while definitive pacing is delayed. In a transplanted heart atropine can cause high-grade block or sinus arrest; use aminophylline for severe bradycardia.","Broad-QRS high-grade block means prepare pacing and expert support, not repeated atropine.","Resuscitation Council UK ALS 2025","RCUK adult ALS guideline 2025","https://www.resus.org.uk/professional-library/2025-resuscitation-guidelines/adult-advanced-life-support-guidelines"
"3","cardiac","Cardiac rhythm","Adenosine is 6, 12, 18—and delivery matters","Adenosine has a half life under 10 seconds because it is taken up by red cells and endothelium almost immediately. It only works if a bolus reaches the AV node intact.","Give 6 mg, then 12 mg, then 18 mg as rapid IV boluses, each followed immediately by a rapid saline flush through a well-functioning line that is as proximal as practical. Record a rhythm strip throughout, because AV block may reveal the underlying rhythm even if the tachycardia does not terminate.","Injecting slowly or through poorly functioning access, then treating failed delivery as diagnostic failure. Adenosine should be used cautiously when the diagnosis is uncertain and avoided in irregular broad-complex tachycardia.","Use a rapid bolus and immediate flush, and record the rhythm strip.","Resuscitation Council UK adult tachyarrhythmia algorithm, March 2026","RCUK adult tachyarrhythmia algorithm","https://www.resus.org.uk/sites/default/files/2026-03/Adult%20tachyarrhythmia%20algorithm%20V3%20March%202026.pdf"
"4","cardiac","Chest pain and ACS","The troponin pathway matters more than one elevated value","Troponin above the 99th centile shows myocardial injury. A rise or fall supports acute injury, while myocardial infarction also requires clinical evidence of ischaemia; renal disease, heart failure and other illnesses can elevate troponin without infarction.","Follow an assay-specific, validated local pathway and account for time from symptom onset. Some pathways allow rule-out with one very low high-sensitivity troponin in selected low-risk patients; otherwise repeat at the pathway's specified interval.","Calling every mildly elevated troponin an NSTEMI, or using an early value below the 99th centile to rule out ACS when the validated pathway does not allow it.","Use the validated pathway and clinical story; do not diagnose MI from one elevated value.","NICE HTG552 (formerly DG40) and validated local hs-troponin pathways","NICE high-sensitivity troponin recommendations","https://www.nice.org.uk/guidance/HTG552/chapter/1-Recommendations"
"5","cardiac","Chest pain and ACS","High-risk ACS patterns can lack classic ST elevation","Standard ST-elevation criteria do not capture every coronary occlusion or every patient at high risk of imminent infarction.","Posterior infarction may show horizontal ST depression and tall R waves in V1 to V3; obtain V7 to V9. A de Winter pattern is associated with proximal LAD occlusion. Deeply inverted or biphasic T waves in V2 to V3 while pain-free suggest Wellens syndrome and critical proximal LAD disease.","Stress testing a Wellens patient. They need angiography, not a treadmill.","ST depression in V1 to V3 should trigger posterior leads before anything else.","ESC acute coronary syndromes guideline 2023","ESC acute coronary syndromes guideline","https://www.escardio.org/guidelines/clinical-practice-guidelines/all-esc-practice-guidelines/acute-coronary-syndromes/"
"6","cardiac","Chest pain and ACS","The dissection that presents as an inferior STEMI","A type A dissection flap can extend into a coronary ostium, most commonly the right, producing genuine inferior infarction. The ECG is real. The diagnosis is still dissection.","Before thrombolysis for an inferior STEMI, rapidly consider acute aortic syndrome: abrupt severe pain, pulse or blood-pressure differential, new aortic regurgitation, neurological deficit or other high-risk features. A widened mediastinum is supportive but neither sensitive nor specific, and absence of classic features does not exclude dissection.","Full anticoagulation and antiplatelet loading in an undiagnosed dissection.","Inferior STEMI with hypotension needs right sided leads and a moment's thought about the aorta.","ESC peripheral arterial and aortic diseases guideline 2024","ESC aortic diseases guideline","https://www.escardio.org/guidelines/clinical-practice-guidelines/all-esc-practice-guidelines/peripheral-arterial-and-aortic-diseases/"
"7","neurology","Syncope and dizziness","Dizziness is about timing and triggers, not quality","Asking whether it is spinning or lightheaded is unreliable, because patients describe the same symptom differently on different days. Timing and triggers are reproducible. Quality is not.","Sort by syndrome: continuous acute vestibular syndrome, triggered episodic symptoms such as BPPV, or spontaneous episodic symptoms. Use Dix-Hallpike for suspected posterior-canal BPPV. HINTS is for a trained examiner assessing acute vestibular syndrome with nystagmus.","Applying HINTS to a patient who is asymptomatic, has no spontaneous nystagmus, or when the examiner is not trained in the technique.","No nystagmus right now means no HINTS.","GRACE-3 acute dizziness guideline and NICE NG127","GRACE-3 acute dizziness guideline","https://www.saem.org/publications/grace/grace-3"
"8","neurology","Syncope and dizziness","In HINTS, the normal result is the frightening one","The head impulse test assesses the vestibulo-ocular reflex. Vestibular neuritis damages that reflex, so the eyes lag and make a corrective saccade. A brainstem stroke leaves the peripheral apparatus intact, so the reflex looks normal.","In the correct population, central features are a normal head impulse, direction-changing gaze-evoked nystagmus or vertical skew. Any central feature requires urgent stroke assessment; use HINTS only if trained and competent.","Reassurance from an early CT head, which is insensitive for acute posterior-fossa infarction. In the original high-risk acute vestibular syndrome study, expert HINTS was more sensitive than early MRI—not a result that can be generalised to every dizzy patient or untrained examiner.","A normal head impulse in acute continuous vertigo is a red flag, not reassurance.","Kattah et al 2009 and NICE NG127","Kattah et al, HINTS study","https://pubmed.ncbi.nlm.nih.gov/19762709/"
"9","cardiac","Syncope and dizziness","Syncope: the six red flags that change the pathway","Most syncope is benign reflex syncope. The whole job of the assessment is separating that from arrhythmic or structural cardiac syncope, which carries real short term mortality.","NICE red flags are an abnormal ECG, heart failure or its signs, loss of consciousness during exertion, family history of sudden cardiac death under 40 or inherited cardiac disease, new or unexplained breathlessness, and a heart murmur. Record a 12-lead ECG in the initial assessment.","Labelling it collapse query cause and moving on. That phrase carries no diagnostic information and tends to close down thinking.","Syncope on exertion is cardiac until proven otherwise.","NICE CG109","NICE CG109 recommendations","https://www.nice.org.uk/guidance/cg109/chapter/Recommendations"
"10","renal","Electrolytes, part one","Calcium does not lower potassium","There are three separate jobs in hyperkalaemia and they get confused. Stabilise the myocardium, shift potassium into cells, then remove it from the body. Calcium does only the first.","For severe hyperkalaemia with ECG changes, give 10 mL of 10% calcium chloride IV over 5 minutes; if calcium chloride is unavailable, give 30 mL of 10% calcium gluconate over 10 minutes. Shift potassium with insulin-glucose and nebulised salbutamol. Removal may require a potassium binder or dialysis, alongside treating the cause.","Giving calcium and assuming the problem is treated. The serum potassium is entirely unchanged.","Calcium buys you time, it does not fix anything.","UK Kidney Association hyperkalaemia guideline","UKKA hyperkalaemia guideline","https://guidelines.ukkidney.org/hyperkalaemia/"
